HM_Mn,Inblow_P,Inblow_C,Inblow_Mn,EOB_Mn,TSC_TEMP.,TSOP_TEMP.,TSOP_O_PPM ,O2_2nd_Blow,EOB_P
0.458,0.140176,0.95897,0.091575,0.05089,1593.3,1665.5,383.0,1660.0,0.014525
0.459,0.090475,0.599176,0.16229100000000002,0.07222100000000001,1631.3,1674.1,732.0,1677.0,0.017313
0.354,0.069366,0.227709,0.12892,0.055346000000000006,1672.0,1679.2,861.0,766.0,0.019726
0.488,0.03004,0.5181899999999999,0.122951,0.063476,1577.9,1662.9,693.0,1664.0,0.016105
0.41,0.017117,0.4666270000000001,0.063579,0.049178,1584.9,1672.7,610.0,1555.0,0.01313
0.595,0.021317,0.06825099999999999,0.07699299999999999,0.056130999999999986,1644.4,1659.6,711.0,1732.0,0.014471
0.457,0.028994,0.250212,0.098043,0.06374099999999999,1604.9,1670.6,875.0,995.0,0.016622
0.481,0.07389,0.275247,0.236132,0.12585,1638.5,1704.7,723.0,1220.0,0.024659
0.591,0.071644,0.390553,0.111308,0.070155,1566.7,1651.4,610.0,1339.0,0.018805
0.464,0.069596,0.561842,0.165983,0.099035,1589.3,1693.0,676.0,1765.0,0.020412
0.569,0.109641,0.495353,0.069195,0.050616,1551.5,1629.0,364.0,1410.0,0.011879
0.321,0.010129,0.08129299999999999,0.07159,0.051581,1596.6,1647.7,784.0,756.0,0.013359
1.02,0.030336,0.142789,0.15150999999999998,0.078968,1642.6,1662.6,480.0,984.0,0.013350999999999998
0.537,0.06156,0.5288729999999999,0.138658,0.087609,1588.2,1689.9,741.0,1555.0,0.020367
0.261,0.018891,0.224546,0.07776799999999999,0.046415,1597.2,1676.8,887.0,1280.0,0.014351
0.6579999999999999,0.0127,0.062024,0.105282,0.066498,1609.9,1661.7,558.0,849.0,0.010294
0.388,0.044847000000000005,0.257627,0.184045,0.184045,1606.4,1662.6,724.0,1215.0,0.044847000000000005
0.196,0.14400000000000002,0.657362,0.207523,0.100167,1551.4,1598.0,415.0,1660.0,0.020226
0.91,0.051788,0.481457,0.134371,0.08626900000000001,1591.4,1648.2,496.0,1334.0,0.015568
0.465,0.016847,0.060697,0.083176,0.06450399999999999,1620.4,1653.7,755.0,585.0,0.013561000000000002
0.447,0.014216,0.201364,0.08123999999999999,0.029014,1560.9,1647.6,925.0,1453.0,0.00984
0.62,0.14400000000000002,0.29692,0.259881,0.13072,1577.2,1666.4,524.0,1342.0,0.020181
0.248,0.041532,0.391921,0.217134,0.078443,1562.6,1664.5,861.0,1629.0,0.017896000000000002
0.625,0.013696000000000002,0.211013,0.143056,0.050817,1568.9,1690.3,1165.0,1914.0,0.014158
0.5579999999999999,0.06791,0.16233,0.224211,0.060742,1703.7,1625.8,645.0,802.0,0.011773
0.315,0.05789,0.632193,0.135719,0.08665199999999999,1547.6,1665.8,623.0,1814.0,0.017033
