HM_Mn,Inblow_P,Inblow_C,Inblow_Mn,EOB_Mn,TSC_TEMP.,TSOP_TEMP.,TSOP_O_PPM ,O2_2nd_Blow,EOB_P,,MB_Predictions,JSW_Predictions
0.631,0.048982,0.543785,0.105127,0.060278,1551.2,1642.8,550,1809,0.011743,,0.010695264,
0.405,0.043984,0.250004,0.098499,0.052734,1557.3,1649.7,881,856,0.015594,,0.017399845,
0.316,0.025749,0.230882,0.148142,0.073482,1593.4,1648.7,731,1141,0.01409,,0.015210631,
0.9,0.084971,0.479604,0.20348,0.20348,1613.9,1665,390,1152,0.084971,,0.068017155,
0.454,0.082227,0.387456,0.167377,0.097785,1657.4,1661.7,546,727,0.024156,,0.020997939,
0.456,0.080549,0.454878,0.15668,0.070687,1586.8,1691.6,803,1545,0.026659,,0.020564598,
0.562,0.067879,0.572541,0.15913,0.098607,1604.9,1669.1,611,1625,0.018326,,0.019208874,
0.459,0.070168,0.480307,0.17038,0.071203,1643.7,1638.1,728,1125,0.013327,,0.016782031,
0.584,0.064739,0.48591,0.422597,0.135054,1637.5,1659.4,605,1931,0.012508,,0.020438036,
0.524,0.029413,0.545302,0.092899,0.032322,1543.2,1642.8,891,1876,0.010416,,0.010680094,
0.364,0.10472,0.50407,0.231951,0.122462,1585.9,1678.7,625,1620,0.028897,,0.02420179,
0.62,0.074569,0.623412,0.122016,0.087528,1557.3,1671.7,584,1954,0.02045,,0.01890441,
0.173,0.049289,0.329707,0.203383,0.087532,1570.8,1573.2,207,1256,0.020168,,0.017627729,
0.477,0.048051,0.408088,0.23701,0.120482,1594.3,1673.2,452,1327,0.019138,,0.017688295,
0.295,0.055015,0.170375,0.103312,0.052932,1639,1673.8,691,797,0.024373,,0.017470345,
0.451,0.096452,0.409153,0.19558,0.131275,1637.3,1665.5,498,1192,0.022133,,0.024367244,
0.466,0.018031,0.392071,0.066915,0.041404,1584.2,1626,450,1279,0.008292,,0.008853711,
